lambda_1,lambda_2,rouge1,rouge2,rougeL
-1.0,-1.0,0.0629827688651218,0.030933967876264127,0.03446226975638741
-0.7777777777777778,-0.7777777777777778,0.0629827688651218,0.030933967876264127,0.03446226975638741
-0.5555555555555556,-0.5555555555555556,0.0629827688651218,0.030933967876264127,0.03446226975638741
-0.33333333333333337,-0.33333333333333337,0.0629827688651218,0.030933967876264127,0.03446226975638741
-0.11111111111111116,-0.11111111111111116,0.0629827688651218,0.030933967876264127,0.03446226975638741
-0.7777777777777778,-1.0,0.07040417209908736,0.03524804177545692,0.03911342894393742
-0.5555555555555556,-0.7777777777777778,0.07068062827225131,0.03538663171690694,0.039267015706806276
-1.0,-0.7777777777777778,0.09595959595959595,0.015228426395939087,0.0707070707070707
-0.7777777777777778,-0.5555555555555556,0.09595959595959595,0.015228426395939087,0.0707070707070707
0.11111111111111116,-0.11111111111111116,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.33333333333333326,-0.33333333333333337,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.33333333333333326,-0.11111111111111116,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.5555555555555554,-0.7777777777777778,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.5555555555555554,-0.5555555555555556,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.5555555555555554,-0.33333333333333337,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.5555555555555554,-0.11111111111111116,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.7777777777777777,-1.0,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.7777777777777777,-0.7777777777777778,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.7777777777777777,-0.5555555555555556,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.7777777777777777,-0.33333333333333337,0.1008174386920981,0.02459016393442623,0.0572207084468665
0.7777777777777777,-0.11111111111111116,0.1008174386920981,0.02459016393442623,0.0572207084468665
1.0,-1.0,0.1008174386920981,0.02459016393442623,0.0572207084468665
1.0,-0.7777777777777778,0.1008174386920981,0.02459016393442623,0.0572207084468665
1.0,-0.5555555555555556,0.1008174386920981,0.02459016393442623,0.0572207084468665
1.0,-0.33333333333333337,0.1008174386920981,0.02459016393442623,0.0572207084468665
1.0,-0.11111111111111116,0.1008174386920981,0.02459016393442623,0.0572207084468665
-1.0,0.11111111111111116,0.10256410256410255,0.021459227467811162,0.05555555555555555
-0.7777777777777778,0.11111111111111116,0.10256410256410255,0.021459227467811162,0.05555555555555555
-0.5555555555555556,0.11111111111111116,0.10256410256410255,0.021459227467811162,0.05555555555555555
1.0,0.11111111111111116,0.10335195530726257,0.025210084033613446,0.05865921787709498
0.5555555555555554,0.11111111111111116,0.10378681626928472,0.025316455696202528,0.05890603085553998
0.7777777777777777,0.11111111111111116,0.10378681626928472,0.025316455696202528,0.05890603085553998
0.7777777777777777,0.5555555555555554,0.10714285714285714,0.036363636363636355,0.08928571428571429
1.0,0.7777777777777777,0.10714285714285714,0.036363636363636355,0.08928571428571429
-1.0,0.33333333333333326,0.10926365795724464,0.023866348448687354,0.061757719714964375
-1.0,0.5555555555555554,0.10926365795724464,0.023866348448687354,0.061757719714964375
-1.0,0.7777777777777777,0.10926365795724464,0.023866348448687354,0.061757719714964375
-1.0,1.0,0.10926365795724464,0.023866348448687354,0.061757719714964375
-0.7777777777777778,0.33333333333333326,0.10926365795724464,0.023866348448687354,0.061757719714964375
-0.7777777777777778,0.5555555555555554,0.10926365795724464,0.023866348448687354,0.061757719714964375
-0.7777777777777778,0.7777777777777777,0.10926365795724464,0.023866348448687354,0.061757719714964375
-0.5555555555555556,0.33333333333333326,0.10926365795724464,0.023866348448687354,0.061757719714964375
-0.5555555555555556,0.5555555555555554,0.10926365795724464,0.023866348448687354,0.061757719714964375
-0.33333333333333337,0.11111111111111116,0.10926365795724464,0.023866348448687354,0.061757719714964375
-0.33333333333333337,0.33333333333333326,0.10926365795724464,0.023866348448687354,0.061757719714964375
-0.11111111111111116,0.11111111111111116,0.10926365795724464,0.023866348448687354,0.061757719714964375
0.33333333333333326,0.5555555555555554,0.10937499999999999,0.03174603174603175,0.07812500000000001
0.5555555555555554,0.7777777777777777,0.10937499999999999,0.03174603174603175,0.07812500000000001
0.5555555555555554,1.0,0.10937499999999999,0.03174603174603175,0.07812500000000001
0.7777777777777777,1.0,0.10937499999999999,0.03174603174603175,0.07812500000000001
-1.0,-0.5555555555555556,0.11136890951276102,0.023310023310023312,0.06032482598607889
-1.0,-0.33333333333333337,0.11136890951276102,0.023310023310023312,0.06032482598607889
-1.0,-0.11111111111111116,0.11136890951276102,0.023310023310023312,0.06032482598607889
-0.7777777777777778,-0.33333333333333337,0.11136890951276102,0.023310023310023312,0.06032482598607889
-0.7777777777777778,-0.11111111111111116,0.11136890951276102,0.023310023310023312,0.06032482598607889
-0.5555555555555556,-0.33333333333333337,0.11136890951276102,0.023310023310023312,0.06032482598607889
-0.5555555555555556,-0.11111111111111116,0.11136890951276102,0.023310023310023312,0.06032482598607889
-0.33333333333333337,-0.11111111111111116,0.11136890951276102,0.023310023310023312,0.06032482598607889
0.33333333333333326,0.11111111111111116,0.11356466876971609,0.025396825396825397,0.08201892744479496
0.7777777777777777,0.33333333333333326,0.11356466876971609,0.025396825396825397,0.08201892744479496
1.0,0.33333333333333326,0.11356466876971609,0.025396825396825397,0.08201892744479496
0.11111111111111116,0.11111111111111116,0.1212121212121212,0.030769230769230767,0.07575757575757576
0.33333333333333326,0.33333333333333326,0.1212121212121212,0.030769230769230767,0.07575757575757576
0.5555555555555554,0.5555555555555554,0.1212121212121212,0.030769230769230767,0.07575757575757576
0.7777777777777777,0.7777777777777777,0.1212121212121212,0.030769230769230767,0.07575757575757576
1.0,1.0,0.1212121212121212,0.030769230769230767,0.07575757575757576
-0.11111111111111116,-1.0,0.12237093690248566,0.023032629558541268,0.07265774378585085
-0.11111111111111116,-0.7777777777777778,0.12237093690248566,0.023032629558541268,0.07265774378585085
0.11111111111111116,-1.0,0.12237093690248566,0.023032629558541268,0.07265774378585085
0.11111111111111116,-0.7777777777777778,0.12237093690248566,0.023032629558541268,0.07265774378585085
0.11111111111111116,-0.5555555555555556,0.12237093690248566,0.023032629558541268,0.07265774378585085
0.11111111111111116,-0.33333333333333337,0.12237093690248566,0.023032629558541268,0.07265774378585085
0.33333333333333326,-1.0,0.12237093690248566,0.023032629558541268,0.07265774378585085
0.33333333333333326,-0.7777777777777778,0.12237093690248566,0.023032629558541268,0.07265774378585085
0.33333333333333326,-0.5555555555555556,0.12237093690248566,0.023032629558541268,0.07265774378585085
0.5555555555555554,-1.0,0.12237093690248566,0.023032629558541268,0.07265774378585085
-0.5555555555555556,-1.0,0.12259194395796848,0.03163444639718805,0.06654991243432574
-0.33333333333333337,-0.5555555555555556,0.12259194395796848,0.03163444639718805,0.06654991243432574
1.0,0.5555555555555554,0.12612612612612614,0.01834862385321101,0.07207207207207207
-0.33333333333333337,-1.0,0.1275797373358349,0.026365348399246705,0.07129455909943716
-0.33333333333333337,-0.7777777777777778,0.1275797373358349,0.026365348399246705,0.07129455909943716
-0.11111111111111116,-0.5555555555555556,0.1275797373358349,0.026365348399246705,0.07129455909943716
-0.11111111111111116,-0.33333333333333337,0.1275797373358349,0.026365348399246705,0.07129455909943716
0.5555555555555554,0.33333333333333326,0.13223140495867766,0.03361344537815126,0.11570247933884298
0.11111111111111116,0.7777777777777777,0.14659685863874347,0.0,0.09424083769633507
-0.11111111111111116,0.5555555555555554,0.14864864864864866,0.013605442176870748,0.08783783783783784
-0.11111111111111116,0.7777777777777777,0.14864864864864866,0.013605442176870748,0.08783783783783784
0.11111111111111116,0.33333333333333326,0.15037593984962408,0.030534351145038167,0.09022556390977443
0.33333333333333326,0.7777777777777777,0.15037593984962408,0.030534351145038167,0.09022556390977443
0.33333333333333326,1.0,0.15037593984962408,0.030534351145038167,0.09022556390977443
0.11111111111111116,1.0,0.15311004784688995,0.0,0.08612440191387559
-0.11111111111111116,1.0,0.15544041450777202,0.0,0.08290155440414507
-0.7777777777777778,1.0,0.16216216216216217,0.013605442176870748,0.0945945945945946
-0.5555555555555556,0.7777777777777777,0.16216216216216217,0.013605442176870748,0.0945945945945946
-0.5555555555555556,1.0,0.16216216216216217,0.013605442176870748,0.0945945945945946
-0.33333333333333337,0.5555555555555554,0.16216216216216217,0.013605442176870748,0.0945945945945946
-0.33333333333333337,0.7777777777777777,0.16216216216216217,0.013605442176870748,0.0945945945945946
-0.33333333333333337,1.0,0.16216216216216217,0.013605442176870748,0.0945945945945946
-0.11111111111111116,0.33333333333333326,0.16216216216216217,0.013605442176870748,0.0945945945945946
0.11111111111111116,0.5555555555555554,0.16580310880829013,0.020942408376963352,0.0932642487046632
